epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,175.692,0.78773,1.52029,0.97127,0.00333,1,0.995,0.8955,0.81632,3.37594,0.81305,0.000493898,0.000493898,0.000493898
45,181.039,0.46308,1.56769,0.90595,0.00333,1,0.995,0.796,0.87313,3.28511,0.82483,0.000496672,0.000496672,0.000496672
46,185.183,0.41249,1.19501,0.87704,0.00333,1,0.995,0.796,0.87313,3.28511,0.82483,0.00049905,0.00049905,0.00049905
47,189.747,0.54479,1.45631,0.81686,0.00333,1,0.995,0.796,0.94661,3.23226,0.85182,0.000501032,0.000501032,0.000501032
48,192.872,0.65952,1.68912,1.04524,0.00333,1,0.995,0.796,0.94661,3.23226,0.85182,0.000502618,0.000502618,0.000502618
49,196.622,0.60031,1.37478,1.04312,0.00333,1,0.995,0.796,1.02199,3.22271,0.87126,0.000503808,0.000503808,0.000503808
50,199.83,0.73086,1.3616,0.97812,0.00333,1,0.995,0.796,1.02199,3.22271,0.87126,0.000504602,0.000504602,0.000504602
51,203.445,0.50369,1.30386,0.81667,0.00333,1,0.995,0.796,0.91904,3.43674,0.88314,0.000505,0.000505,0.000505
52,206.771,0.70291,1.6415,1.00585,0.00333,1,0.995,0.796,0.91904,3.43674,0.88314,0.000505002,0.000505002,0.000505002
53,210.044,0.57762,1.47266,0.97135,0.00333,1,0.995,0.796,0.91904,3.43674,0.88314,0.000504608,0.000504608,0.000504608
54,213.76,0.5347,1.41174,0.89398,0.00333,1,0.995,0.796,0.92105,3.32225,0.90053,0.000503818,0.000503818,0.000503818
55,216.868,0.48708,1.59041,0.88188,0.00333,1,0.995,0.796,0.92105,3.32225,0.90053,0.000502632,0.000502632,0.000502632
56,220.355,0.83535,1.546,1.04882,0.00333,1,0.995,0.796,0.92105,3.32225,0.90053,0.00050105,0.00050105,0.00050105
57,223.657,0.87914,1.73351,1.19776,0.00333,1,0.995,0.796,0.84872,3.31685,0.91265,0.000499072,0.000499072,0.000499072
